PERSON,PLACE,ORGANIZATION
Anziz Pérez,Galegos,groupe des entrepreneurs
Silva Da,Sungai Besar,Fondation Nelson
Namake Sánchez,Lębork,ambulanciers paramédicaux de Los Angelos
Shahana Scott,Esuk Oron,Pol-action
Neill Campbell,Al Jadīd,brigade de gendarmerie anticriminelle
Charles Joseph,Bermejo,SugarHigh
Aïron Allen,Kyparissía,"l’Association ‘’une femme instruite, un avenir assuré’’"
Adjila Thompson,Ciudad Real,La police
Caty García,Amagi,Pol-action
Adonay Clark,Garstang,Propriétaire de bateau de plaisance
Léna Trameur,Evanston,Pompier
Sheherazade Green,Makiv,Granite
Hachemi Wang,Horta,Service de la Sûreté de Santiago
Eurico Martin,Saint-Marcel,Unit-life
Grégoire Laporal,Bambolim,Chimicos
Jemy Alibert,Nubl,Interpol
Camill Pereira,Çerkezköy,SJA
Achil Hill,Medina de Ríoseco,Urgence
Maxime John,Woodlawn,Agrichimo
Jazz Zhang,Saint Sampson,Gaibian
Anaïs Abert,Koson,OMS
Mima Ferreira,Terrace Heights,ANYMAL
Guyllian Turner,Ingersoll,Ong Secours
Adelmo Green,Kampong Baharu Balakong,happy
Delphyne Dupond,Chipping Ongar,Banque
Adhem Nelson,Lynchburg,Serbie France
Taina Miller,Wenling,Parti pour La Liberté de Tous
Loiza Ramírez,Tübingen,Ligue Policière pour la Paix en Europe
Loetitia Thompson,Abuja,Non à l’exploitation des mineurs
Tou Hall,Jona,enough
Mila Chapuis,Krugersdorp,Aqualab
Samirha Rodríguez,Kapustin Yar,Etat
Nor-Eddine Durant,Varėna,Ligntning.corp
Silva Da,Sayhāt,CRE
Alanis Evans,Alcalá del Río,Motox
Pasqualina Thomas,Soatá,Association pour une Paix Profonde
Marylaure Nguyen,Tumcon Ilawod,Disons non aux violences conjugales
Uveys Ali,Hunsūr,Turqo-hydro
Aïron Allen,Calatrava,« club clean up »
Mathusan Hall,Chilca,Centre de Recherches Scientifiques
Meydi Tellier,Bergen op Zoom,Asie salutaire
Clemence Hill,Crossett,Organisation de la Sûreté Mexicaine
Errol Wang,Wingles,Juridical Help
Mahaut Tellier,Molochansk,Police
Grégoire Laporal,Pasinler,Groupe rebelle
Luqmi‚n Chen,Capitola,Sells
Mirlene Smith,Chikhli,VGT
Anicette Dupuis,Domont,non à la fumée
Adonaï Sánchez,Chos Malal,SOS FIRE
Ibrahim Dassault,McMinnville,service national de la sécurité routière
Jakie Roberts,Palma di Montechiaro,Agence Nationale pour l’Intégration
Oumama García,Robertsdale,York
Emilyne Phillips,Steinheim an der Murr,pompiers
Silva Da,Biritiba Mirim,Pompier
Nacerdine Jackson,Clarines,Association ‘’Même vision’’
Loranne Walker,Spring Valley Lake,Boltelo
Ayven Gómez,Torcy,MOTOR
Thibault Alekseï,Gaillard,Ministère de la population
Charles Joseph,Şirvan,Police
Lailia Couatarmanach,Des Peres,association protégeant les droits des enfants
Ellia Allen,Fumel,secourir une vie
Tehillah Thomas,Lofthouse,Loko race
Samirha Rodríguez,Libenge,l’Association « Route de vie »
Ceyhun López,Werribee,Parti des Royalistes
Sebastien Couatarmanach,Harstad,"Mon Mariage, Mon Rêve"
Paul-Augustin Jackson,Yak'airike,Sanivet
Nebila Baker,Itaú de Minas,Ambition des Jeunes
Loetitia Thompson,Los Altos,"Liberté, Égalité et Bonne Gouvernance"
Mohamed-Malik Jones,Raghudebbati,Institut Européen de la Recherche
Annunziato Hernández,Warren,ANTIGAY
Noemie Müller,Patiya,Forces de Libération Flamandes
Balsam Smith,Mocoa,propreté pour tous
Souraya Dupuis,Mezgor'e,communauté verte
Evens Rodríguez,Kibworth Harcourt,ONG ‘’Tous Unis contre l’impunité’’
Dianna Destresse,Xilin Hot,Service des urgences de Norvège
Lhacene Williams,Mareno di Piave,Beauté
Sebastien Couatarmanach,Parla,Délices légères raffinées
Danka Li,Eke,Forces spéciales de l'armée
Antoine Duverney,Gādarwāra,MIND
Marie-Veronique Clark,Apple Valley,MOOC
Dina Clavier,San Nicolò,Etat
Antoine Duverney,Połaniec,Al Matirsoui
Nedjema Hall,Greenpoint,HONEY
Radija Nelson,Irondale,Gouvernement
Farda Duverney,Lambesc,unité spéciale de protection du patrimoine culturel grecque
Silva Da,Wallsend,organisation des orphelins d'Europe
Issraa Scott,Schwedt (Oder),Association ‘’Non aux femmes battues’’
Léna Trameur,Llefià,"Association ‘’Un Homme, un vote’’"
Marie-Yves Robinson,Shelton,Armée aéronavale Malgache
Gibril Robinson,Bristol,Service de la voirie
Yafa Pautrat,Apatity,ONG ‘’Tous Unis contre l’impunité’’
Ginella Wright,Mount Sinai,Association ‘’des infectiologues de Belgique’’
Eucher Liu,Ribarroja del Turia,Association internationale « mère et fille »
Atlas Green,Bagar,Syndicat des Travailleurs Honnêtes
Shahan Wright,Kleinmachnow,Aqualab
Roddy Duverney,Monjas,Collectif des Commerçants de Londres
Juliano Jones,Bangor,Foule
Arthur Fernández,Wickede,Parti pour la Liberté et la Justice
Joslin Alves,Le Blanc,"une femme, un métier"
Martin Deneuve,Vale de Cambra,Fédération nationale des associations de directeurs d'établissements et services pour personnes âgées
Sebastien Couatarmanach,Gorgān,Coalition une Démocratie Verte en Turquie
Petula Pérez,Herrera,Manja Pasta
Wallys Duverney,Dhupgāri,Parti Liberté et Ordre
Thibault Alekseï,Blama,StopSuicide
Ishan Lewis,Bhiwadi,Association des Constructeurs de Lyon
Meliya Leguerrec,Başmakçı,Balance
Raphael Alibert,Chamblee,Sacie
Mauryn Roberts,Mathba,Sourire à la vie
Azel Evans,Plan-de-Cuques,Fondation Stop Cancer
Agatha Constant,Matawan,luttons contre le racisme
Aelia Campbell,Abadeh,Erasme chimicus
Mirza Johnson,Orlovskiy,OISC
Golda Green,Bischofsheim in der Rhön,JMM
Anna-Rosa Peter,Muhammadābād,Shalma Event
Kacey Hernández,Ga-Rankuwa,Organisation Panaméricaine de la Santé
Eloen Torres,Mianyang,BOMO
Melïa Müller,Grantham,Pharmvet
Mehmet-Efe Wang,Jounieh,Sentinelle
Vlasta Rodríguez,Umm Ruwaba,LIVY
Nosredine Couatarmanach,Santa Cruz,"Liberté, Justice et Sécurité"
Aïleen Young,Leutershausen,"un animal, une vie"
Stelios Destresse,Silwād,IPSO
Niyazi Li,Chicago Loop,ONG Ma Belle Enfance
Brewenn Joseph,North Ridgeville,Des chercheurs européens
Silvanna Turner,Kisi,Recherche chimique d’élite de Fès
Santos Dos,Bikenibeu Village,"l’Association ‘’une femme instruite, un avenir assuré’’"
Charles Joseph,Itānagar,Association de lutte contre l'alcoolisme
Aretha Harris,Tudora,Paix arabe universelle
Juan-Miguel Brown,Andrews,Pompier
Andhy Alibert,Villa Tecolutilla,ensemble contre le chômage
Herminie Tellier,La Mira,Aérodrome de Tossus-le-Noble
Tobias Green,Lichuan,"Association « Safe life »,"
Mirela Alves,Kaset Wisai,Navire impérial
Damien Abert,Dubăsari,Honneur et Patrie
Marylaure Nguyen,Kilindoni,ONG Share humanity
Narjis Young,Vuores,Greenlife
Marie-Yves Robinson,Sevilla La Nueva,Santé verte
Zakariae Lee,Guanajay,Centrale nucléaire bienveillante du Japon
Grégoire Laporal,New Bedford,Club des Leos
Suely Chapuis,Ulenje,éduquons nos enfants
Lorita King,Fos-sur-Mer,Organisation ''Egalité entre genres''
Loetitia Thompson,De Aar,Aircraft
Joshua Clavier,Bayswater,ONG AnimalsProject
Laura Chazal,Iwo,TRAVEL
Bela García,Laudun-l'Ardoise,Level
Antoine Duverney,Las Rozas de Madrid,bellle vie
Emiline Roberts,Clusone,gendarmerie
Bela García,Punaauia,agence nationale de lutte contre l’insécurité alimentaire
Josselyne Peter,Hope Valley,Interpol
Joshua Clavier,Bogo,SAMIF
Misa Williams,Hammam-Lif,Dermatologie
Zaïra Jackson,Lidcombe,Organisation ouest africaine de sécurité alimentaire
Goulcan Adams,Zizur Mayor,UCR
Thibault Alekseï,San Justo,Services de la douane turque
Ludvick Ahmed,Vilino,YONGA
Cayssie Davis,Xanxerê,Sacie
Maima Chapuis,Lancaster,Pompier
Tesnyme Pérez,Bayevo,"Un sinistre, une assistance"
Cayssie Davis,Bombarral,Association des alcooliques anonymes
Bryce Martin,Kraaifontein,un toit pour chaque individu
Lilou-Anne González,Kshenskiy,SugarHigh
Celestine Robinson,Midfield,non à la fumée
Carlos Peter,Molugan,Hiver arabe universel
Pierre-Joseph Walker,Al Qiţena,Research for clean water
Abdelhaziz Davis,Bulawayo,Association des anciens jeunes étudiants scientifique
Libby García,Rumia,Protégeons nos lacs
Thibault Alekseï,Saint-Laurent-du-Var,SRG
Tianna King,Comerío,Syndicat des Travailleurs Pacifistes
Cantor Harris,Ichinomiya,Humanitarium
Raphael Alibert,Doschatoye,véhicule
Cléa Destresse,Chanhassen,Centre poison
Atef Pautrat,Summit,ONG Justice Équitable
Gilaine Allen,Cabo,Indiana Hospis
Anne-Madeleine Miller,Soran,Cartel de drogue
Attilio Adams,Brooklyn Center,Grand fournisseur
Oumelkheir Miller,Verkhniye Achaluki,banque
Carlos Peter,Płock,Bruxos-Pestos
Maxime John,Tapolca,Cours suprême
Maely Dupuis,Groesbeek,Justice pour nos Défunts
Denis Leguerrec,Jiyuan,Education féminine universelle
Tycia Phillips,Lake Geneva,observateur politique de la vie publique
Hailie Chen,Eastmont,La Vida Para Todos
Ana-Clara Durant,High Blantyre,Mouvement pour la Nouvelle Gloire de l’Allemagne
Jean-Rene Dupond,Bennsville,banque centrale
Turquoise Gómez,Bagasra,Réconfort bienheureuse
Conchetta Turner,La Louvière,banque centrale
Alarik Hall,Edenkoben,premier adjoint au maire
Franco Di,Ceglie Messapica,La police.
Silva Da,1 Decembrie,"Une cause, un combat, un gain"
Nevenoe Evans,Picos,Club de l’Avenir
Jesabelle Laporal,Plastunovskaya,Belgique propreté absolue
Hasane Dupond,Čapljina,ensemble contre le chômage
Rose-Heline Chazal,Pilsting,syndicat des pompiers
Sylvelie John,Orcopampa,Organisation scientifique chimique
Grégoire Laporal,Capinópolis,Best Construct
Franco Di,Berkhamsted,X5
Alessio Phillips,Fraccionamiento Colinas del Sol,Pompier
Aliou Mohamed,Ennis,PAE
Santos Dos,Eagan,médicaments pour chaque enfant
Ilyan Wilson,Brazii de Sus,service national de la sécurité routière
Luca Carter,Lembeek,forces de la sécurité routière de Lyon
Desty Duverney,Bratislava - Vajnory,Syndicat des Travailleurs Pacifistes
Denis Leguerrec,Padalarang,CRE
Lenaic Trameur,Qingzhou,SAMLIM
Guerrino Campbell,Mamatid,I-Nuclear
Loiza Ramírez,Culianan,Association des Militants de la Paix
Ansoumane Anderson,Heze,Pompier
Fredo López,Saint Joseph,Amical des ouvriers Metro Paris
Waina Leguerrec,Tuwaite,Blossom Assur
Catherin Williams,Zawadzkie,TechWorld
Grégoire Laporal,Cherpulassery,Gencox
Samirha Rodríguez,Tuluá,Centre National de Psychiatrie
Souraya Dupuis,Ainaro,Police Sud africaine
Alime Ibrahim,Mucurici,Services sous-marins
Sevtap Young,Wandlitz,Sudistes
Arkia Sauvage,Bermejillo,Police
Loina Clark,Bellingham,"une femme, un pouvoir"
Golda Green,Los Arcos,Thriller
Rislane Dupond,Balarāmpur,Jupiter
Rhaled Liu,West Springfield,combattons le cancer
Hailie Chen,Bryn Mawr,ONG ‘’Assistance aux patients’’
Amauri Fernández,Pok Fu Lam,Fondation Pereira
Ydrissa Alves,Knesselare,Mairie
Maeva Capelani,Kani Kéli,Energie centrale
Antoine Duverney,Riobamba,la gendarmerie nationale de Lomé
Elohane Nguyen,Bowdon,Dealers aguerris
Allisone Ibrahim,Terenozek,Ammoniac plus
Miltiade Pereira,Porto,Organisation pour la Coopération Internationale
Cidalia Walker,Berrouaghia,PINS
Badie Peter,Éragny,orphelinat « toujours amis »
Kossay Wang,Otradnyy,Urgence domestique Irlande
Noel Liu,Weida,Stop aux violences conjugales
Saliah Miller,Bismil,Association d’aide à l’indemnisation des victimes
Marie-Olympe White,Gyula,Services sous-marins belges.
Elfrida Pérez,Plérin,ONG ’'Tous les enfants à l’école’’
Silva Da,Aljezur,Au Nom de la Culture
Cyprien Mohamed,Monetnyy,Sombras
Sipa Hassan,Hofgeismar,l’association des laborantins
Conceicao Nelson,Wil,Non aux risques chimiques parisiens
Silla Evans,Hickam Field,association d'internes en médecine
Constance Dupuis,George Town,UPDN
Patrick Fernández,Phra Phutthabat,Agence nationale pour la gestion des déchets radioactifs
Oanelle Dufour,New Dorp Beach,VFG
Bruno Alves,Târnova,CHGT
Amytis Duverney,Pontecorvo,Fleurs et Nuages
Santos Dos,Canturay,Supporters
Josselyne Peter,Krasnyy Oktyabr’,univers pour tous
Liviana Moore,Serpa,"un enfant, un abri"
Ellena Young,Katipunan,Panthers
Esperance Li,Ursulo Galván,WAX
Elay Jackson,Petoskey,voyager partout dans le monde
Narjis Young,Fale old settlement,Organisme de Lutte contre le Trafic Illégal de Biens
Rhariba García,Ottignies,Forces armées rwandaise
Alissone Ali,Corral de Almaguer,Anti terrorisme juvénile
Yosr Hernández,Tondano,Respecte ma Vie Privée
Lievine Rodríguez,Wittmund,Association ‘’Tous les enfants à l’Ecole’’
Lucman Turner,Chilaw,commissariat de police de Cotonou
Edmard Dufour,Ţimā,Agence Nationale de la Sécurité Intérieure
Atef Pautrat,Sohag,help
Abdoulah Torres,Brent,Nouvelle chapitre
Aissatou Hill,Pampa,FIREMEN FORCE
Elianore Thompson,Māndvi,Gouvernement
Alanah Baker,Edenderry,Ministère des transports
Agatha Constant,Bol’shoy Kamen’,Syndicat des Travailleuses de Dentelle
Agatha Constant,Chetwayi,BIOMAX
Annyssa López,Skwierzyna,JUD
Sade Peter,Palmas,oui à l’interruption volontaire de grossesse
Antoine Duverney,Sacramento,HEALTHPITAL
Marie-Veronique Clark,Matsubushi,Vita Hellénique
Rasim Evans,Eravur Town,Woodtech
Carlos Peter,Broshniv-Osada,CHINAK
Lubna Mitchell,Santa Catarina,TechWorld
Franco Di,Ji Paraná,cellule de lutte contre la contrebande
Dorinne Jones,Ferney-Voltaire,SDR
Chamina Anderson,Yengibag,non à la choléra
Ismahane Walker,Cabinuangan,MAXCO
Catrina Jones,Walterboro,l’Association ‘’ Non au travail des enfants’’
Uveys Ali,Munich,Curlyhair
Laura Chazal,Gretna,Collectif pour la Justice aux Jeunes
Bryce Martin,Troitskaya,Police départementale
Emiline Roberts,San Francisco Ocotlán,LABOS
Miltiade Pereira,Río Cuarto,luttons contre le racisme
Aneya Clavier,McKinley Park,Association ''Stop à la consommation du tabac''
Silva Da,San Marino,OMS
Santos Dos,Tremont,Danfil
Santos Dos,Tegel,Club de l’Avenir
Heli Dupuis,Mülheim,Pet Tools
Annyssa López,Puerto Vilelas,TPM
Kaitlin Wilson,Templeuve-en-Pévèle,Parti pour une Gouvernance Équitable
Nevenoe Evans,Pont Cassé,Non à la discrimination sexuelle face à l’homosexualité
Seth Lewis,Świdwin,Fondation Folivent
Crystel Ali,Boucau,planète verte
Franco Di,Maocun,Délices légères raffinées
Najibe Harris,Pontinia,Liberté pour tous
Patrick Fernández,Beloyarskiy,Les Nationalistes
Arthur Fernández,Savenay,FOX
Anne-Madeleine Miller,Soverato Marina,association de protection des droits des enfants
Elouen Pereira,Willoughby,Séné hydros plus
Anyse Lee,Bir Hadaj,Association ''Stop au Sida''
Laurent Chazal,Kurashiki,chef du gouvernement
Jazz Zhang,Kayapınar,sauveteurs en mer espagnols
Ionis Lee,Orange,Agros plus
Abdelhaziz Davis,Waterloo,Protestants
Mercy Constant,Grotte,Les justiciers
Thibault Alekseï,Dudley,Wane industry
Amrine Alibert,San Francisco de Asís,Pompier
Anaïs Abert,Burkhardtsdorf,les hommes pleurent aussi
Elynna Hall,Princenhage,ensemble contre le numérique
Antoine Duverney,Robertson,l’Association ‘’Volontaire sans frontière’’
Leïla Deneuve,Bossier City,Protoni
Leslie-Ann Peter,Miraí,Terreur bienfaisante
Ghilas Ramírez,Armstrong,Rebelles bien nés
Tahyss Brown,Cerro,JIHU
Yorick Martínez,Wheeling,l’Association ‘’Toutes les filles à l’Ecole
Meïlie Li,Izobil’nyy,un métier pour tous
Maima Chapuis,Presidente Prudente,ensemble contre tout
Shamseddine Torres,Sénas,Educ
Sueli Chazal,Cameron,Congrès des jeunes scientifiques
Aretha Harris,Karlshuld,VFG
Ludovique Ali,Annecy-le-Vieux,végétariens pour la vie
Kaoura Pérez,Ceparana-Carpena,Passagers
Liberata Miller,Batman,"un cheval, une vie"
Santos Dos,Sharan,une association humanitaire pour la lutte contre la faim
Carlos Peter,Chiapa de Corzo,l’association des étudiants des facultés de sciences
Marija Walker,Villas de Irapuato,Nitro circus
Denis Leguerrec,Zuogaimanma,Pompier
Marc-Henri García,Fredonia,Ligue Policière pour la Paix en Europe
Cleandre Nguyen,Beşikdüzü,Association pour une Enfance Épanouie
Bruno Alves,Helena Valley West Central,"un père, un emploi"
Mathieux Adams,Bytom,Gouvernement
Malyk Peter,Kaharlyk,Service de la sécurité routière de Madrid
Thibault Alekseï,Rāmnagar,Association Pour la Vie
Adelmo Green,Thornaby-on-Tees,Association ''Non à la cigarette''
Denis Leguerrec,Al Ḩawātah,Lotus Bleue
Tchelsy González,Schöneberg,ONG Ma Belle Enfance
Comba Evans,Werkendam,Paix et Liberté pour la Mauritanie
Biagui Dupond,Ipís,Parti Révolutionnaire pour la Liberté
Abdelsamad Hernández,Billingham,SOLV
Jack Tellier,Klimovsk,Filligrane
Martin Deneuve,Canosa di Puglia,l’association du plus grand exportateur
Vidal Zhang,Coral Terrace,Air mexico
Senda Sánchez,Bicaz,Parti pour la Démocratie et la Tolérance
Alain Dupond,Tqvarch'eli,militants de Front national pour Paix
Anaïs Abert,Macclenny,Tuléar-pestos
Djulyan Durant,Lavena Ponte Tresa,Mairie
Elsa Alibert,Balapulang,Rigths For Life
Cintya Allen,Prestwick,AGAZ
Grégoire Laporal,Hirado,Bellas
Sade Peter,Dolgoderevenskoye,Pompier
Arzu Clavier,Guangshui,Association Avenir Vert
Briec Chazal,Oettingen in Bayern,Fondation Stop Cancer
Bruno Alves,Belidzhi,Speedline
Maylys Ali,Riorges,THIN
Kainan González,Abram,HTIT
Yesmina Smith,Tsiolkovskiy,Paix et Sécurité pour Tous
Talita Martínez,Ol Kalou,Agence Digitale des Grands Événements
Mevlout Dufour,Mamboma,Banque
Katell Clark,Carmen de Apicalá,AWP
Ansoumane Anderson,St. Georg,Institut des chercheurs d’élite de londres
Luis-Miguel Hassan,Ga-Kgapane,Etat
Ketia Nelson,Chabeuil,Mères célibataire
Adim Pérez,Sorso,Energy
Chelsee Green,San Miguel Zapotitlan,Tous homophobes
Norman Leguerrec,Basingstoke,l’Association ‘’ Resto du cœur ’’
